Tract,Total,Tot_White,Pct_White,Tot_Black,Pct_Black,Tot_Native,Pct_Native,Tot_Asian,Pct_Asian,Tot_Pac_Isl,Pct_Pac_Isl,Tot_Other,Pct_Other,Tot_Mixed,Pct_Mixed
404800,1226,704,57.42251223,204,16.63947798,21,1.712887439,144,11.74551387,14,1.141924959,27,2.20228385,112,9.135399674
404900,1862,1153,61.9226638,269,14.44683136,30,1.611170784,221,11.86895811,30,1.611170784,55,2.953813104,104,5.585392052
405000,1457,991,68.0164722,199,13.65820178,6,0.4118050789,208,14.2759094,0,0,32,2.196293754,21,1.441317776
405100,1589,1120,70.4845815,268,16.86595343,0,0,130,8.181246067,0,0,17,1.069855255,54,3.398363751
405200,2407,1080,44.8691317,419,17.40756128,46,1.911092646,594,24.67802243,0,0,152,6.314914832,116,4.819277108
405301,1548,853,55.10335917,384,24.80620155,7,0.4521963824,154,9.948320413,7,0.4521963824,52,3.359173127,91,5.878552972
405302,1448,619,42.74861878,228,15.74585635,7,0.4834254144,463,31.97513812,0,0,59,4.074585635,72,4.972375691
405401,1688,450,26.65876777,404,23.93364929,12,0.7109004739,493,29.20616114,0,0,205,12.14454976,124,7.345971564
405402,1133,219,19.32921447,350,30.89143866,42,3.706972639,319,28.15533981,52,4.589585172,108,9.532215357,43,3.795233892
405500,1580,533,33.73417722,272,17.21518987,0,0,663,41.96202532,6,0.3797468354,22,1.392405063,84,5.316455696
405600,1371,571,41.6484318,273,19.91247265,46,3.355215171,307,22.3924143,0,0,77,5.616338439,97,7.075127644
405700,1353,327,24.16851441,562,41.53732446,9,0.6651884701,306,22.61640798,0,0,98,7.243163341,51,3.76940133
405800,1333,262,19.65491373,393,29.48237059,9,0.6751687922,510,38.25956489,25,1.875468867,70,5.251312828,64,4.8012003
405901,1080,175,16.2037037,205,18.98148148,51,4.722222222,367,33.98148148,0,0,272,25.18518519,10,0.9259259259
405902,956,181,18.93305439,196,20.50209205,11,1.150627615,409,42.78242678,15,1.569037657,118,12.34309623,26,2.719665272
406000,1405,384,27.33096085,234,16.65480427,6,0.4270462633,570,40.56939502,7,0.4982206406,129,9.181494662,75,5.338078292
406100,1458,561,38.47736626,146,10.01371742,45,3.086419753,268,18.38134431,9,0.6172839506,395,27.09190672,34,2.331961591
406201,1382,391,28.29232996,279,20.18813314,14,1.013024602,298,21.56295224,25,1.808972504,278,20.11577424,97,7.018813314
406202,1282,556,43.36973479,166,12.94851794,70,5.460218409,116,9.048361934,0,0,268,20.90483619,106,8.268330733
406300,1187,292,24.59983151,210,17.69165965,13,1.095197978,434,36.56276327,0,0,171,14.40606571,67,5.644481887
