GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC03_EST_VC17,HC03_MOE_VC17,HC04_EST_VC17,HC04_MOE_VC17,HC05_EST_VC17,HC05_MOE_VC17,HC06_EST_VC17,HC06_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC04_EST_VC18,HC04_MOE_VC18,HC05_EST_VC18,HC05_MOE_VC18,HC06_EST_VC18,HC06_MOE_VC18
Id,Id2,Geography,Total; Estimate; Percent high school graduate or higher,Total; Margin of Error; Percent high school graduate or higher,Percent; Estimate; Percent high school graduate or higher,Percent; Margin of Error; Percent high school graduate or higher,Male; Estimate; Percent high school graduate or higher,Male; Margin of Error; Percent high school graduate or higher,Percent Male; Estimate; Percent high school graduate or higher,Percent Male; Margin of Error; Percent high school graduate or higher,Female; Estimate; Percent high school graduate or higher,Female; Margin of Error; Percent high school graduate or higher,Percent Female; Estimate; Percent high school graduate or higher,Percent Female; Margin of Error; Percent high school graduate or higher,Total; Estimate; Percent bachelor's degree or higher,Total; Margin of Error; Percent bachelor's degree or higher,Percent; Estimate; Percent bachelor's degree or higher,Percent; Margin of Error; Percent bachelor's degree or higher,Male; Estimate; Percent bachelor's degree or higher,Male; Margin of Error; Percent bachelor's degree or higher,Percent Male; Estimate; Percent bachelor's degree or higher,Percent Male; Margin of Error; Percent bachelor's degree or higher,Female; Estimate; Percent bachelor's degree or higher,Female; Margin of Error; Percent bachelor's degree or higher,Percent Female; Estimate; Percent bachelor's degree or higher,Percent Female; Margin of Error; Percent bachelor's degree or higher
1400000US06037214600,06037214600,"Census Tract 2146, Los Angeles County, California",(X),(X),96.5,2.8,(X),(X),97.9,3.0,(X),(X),95.3,4.3,(X),(X),64.4,8.1,(X),(X),64.7,12.1,(X),(X),64.1,10.2
1400000US06037214700,06037214700,"Census Tract 2147, Los Angeles County, California",(X),(X),95.7,2.2,(X),(X),92.8,4.0,(X),(X),97.8,2.2,(X),(X),67.6,5.4,(X),(X),65.1,8.9,(X),(X),69.4,8.0
1400000US06037214800,06037214800,"Census Tract 2148, Los Angeles County, California",(X),(X),95.6,2.7,(X),(X),98.3,2.2,(X),(X),93.8,4.1,(X),(X),70.8,6.7,(X),(X),73.4,9.3,(X),(X),69.2,7.2
1400000US06037214901,06037214901,"Census Tract 2149.01, Los Angeles County, California",(X),(X),94.6,3.5,(X),(X),94.4,7.1,(X),(X),94.8,3.7,(X),(X),72.0,7.2,(X),(X),77.9,11.2,(X),(X),68.5,10.1
1400000US06037214902,06037214902,"Census Tract 2149.02, Los Angeles County, California",(X),(X),96.4,3.6,(X),(X),94.3,6.9,(X),(X),98.2,1.9,(X),(X),64.2,6.9,(X),(X),65.6,10.9,(X),(X),63.1,8.2
1400000US06037215101,06037215101,"Census Tract 2151.01, Los Angeles County, California",(X),(X),99.4,0.7,(X),(X),98.6,1.7,(X),(X),100.0,2.5,(X),(X),81.5,4.8,(X),(X),85.3,5.6,(X),(X),78.6,7.0
1400000US06037215102,06037215102,"Census Tract 2151.02, Los Angeles County, California",(X),(X),98.5,1.2,(X),(X),99.0,1.6,(X),(X),98.1,1.8,(X),(X),66.2,7.9,(X),(X),58.7,12.5,(X),(X),72.9,9.5
1400000US06037216100,06037216100,"Census Tract 2161, Los Angeles County, California",(X),(X),97.7,1.7,(X),(X),97.6,2.4,(X),(X),97.7,2.5,(X),(X),69.3,5.5,(X),(X),71.7,8.0,(X),(X),66.9,8.2
1400000US06037216200,06037216200,"Census Tract 2162, Los Angeles County, California",(X),(X),86.6,6.1,(X),(X),85.2,8.3,(X),(X),88.3,5.1,(X),(X),59.5,9.1,(X),(X),57.6,10.3,(X),(X),61.8,10.4
1400000US06037216300,06037216300,"Census Tract 2163, Los Angeles County, California",(X),(X),96.9,2.0,(X),(X),97.7,2.9,(X),(X),96.1,3.6,(X),(X),65.7,8.3,(X),(X),70.1,8.8,(X),(X),61.3,9.7
1400000US06037216401,06037216401,"Census Tract 2164.01, Los Angeles County, California",(X),(X),92.0,5.6,(X),(X),96.8,4.8,(X),(X),86.3,8.2,(X),(X),57.6,7.6,(X),(X),73.2,10.2,(X),(X),39.3,11.5
1400000US06037216402,06037216402,"Census Tract 2164.02, Los Angeles County, California",(X),(X),95.8,1.9,(X),(X),95.8,2.7,(X),(X),95.8,2.4,(X),(X),58.4,6.4,(X),(X),62.9,8.6,(X),(X),54.3,8.7
1400000US06037216700,06037216700,"Census Tract 2167, Los Angeles County, California",(X),(X),92.3,3.9,(X),(X),92.1,4.9,(X),(X),92.5,4.5,(X),(X),44.5,6.6,(X),(X),42.7,8.0,(X),(X),46.1,7.9
1400000US06037216800,06037216800,"Census Tract 2168, Los Angeles County, California",(X),(X),95.0,2.4,(X),(X),94.5,3.6,(X),(X),95.7,3.6,(X),(X),70.2,5.9,(X),(X),68.4,7.2,(X),(X),72.1,7.6
1400000US06037216900,06037216900,"Census Tract 2169, Los Angeles County, California",(X),(X),88.8,3.8,(X),(X),87.4,5.0,(X),(X),90.1,5.0,(X),(X),52.4,6.6,(X),(X),55.6,8.1,(X),(X),49.6,8.8
1400000US06037217001,06037217001,"Census Tract 2170.01, Los Angeles County, California",(X),(X),94.4,3.0,(X),(X),93.7,4.3,(X),(X),95.0,3.3,(X),(X),61.8,7.4,(X),(X),71.2,9.9,(X),(X),53.7,8.3
1400000US06037217002,06037217002,"Census Tract 2170.02, Los Angeles County, California",(X),(X),94.6,3.2,(X),(X),92.5,4.7,(X),(X),96.6,3.5,(X),(X),55.1,8.3,(X),(X),50.6,11.2,(X),(X),59.4,8.2
1400000US06037217100,06037217100,"Census Tract 2171, Los Angeles County, California",(X),(X),88.3,6.4,(X),(X),83.9,8.5,(X),(X),93.1,5.4,(X),(X),35.6,7.5,(X),(X),32.3,9.4,(X),(X),39.2,8.7
1400000US06037217200,06037217200,"Census Tract 2172, Los Angeles County, California",(X),(X),84.2,4.7,(X),(X),79.6,7.9,(X),(X),88.6,4.6,(X),(X),44.9,6.6,(X),(X),41.2,8.1,(X),(X),48.4,7.8
1400000US06037218110,06037218110,"Census Tract 2181.10, Los Angeles County, California",(X),(X),75.3,7.3,(X),(X),72.0,12.2,(X),(X),78.1,6.4,(X),(X),28.8,7.4,(X),(X),27.5,13.2,(X),(X),30.0,7.8
1400000US06037218120,06037218120,"Census Tract 2181.20, Los Angeles County, California",(X),(X),62.9,7.8,(X),(X),58.3,11.8,(X),(X),67.4,6.6,(X),(X),20.2,5.7,(X),(X),23.3,7.9,(X),(X),17.3,6.1
1400000US06037218210,06037218210,"Census Tract 2182.10, Los Angeles County, California",(X),(X),60.1,6.9,(X),(X),57.3,8.2,(X),(X),63.3,9.7,(X),(X),10.1,4.1,(X),(X),8.8,4.9,(X),(X),11.5,5.7
1400000US06037218220,06037218220,"Census Tract 2182.20, Los Angeles County, California",(X),(X),69.6,6.9,(X),(X),67.4,8.0,(X),(X),71.5,9.1,(X),(X),29.7,6.2,(X),(X),28.5,7.2,(X),(X),30.7,8.2
1400000US06037218300,06037218300,"Census Tract 2183, Los Angeles County, California",(X),(X),76.1,6.4,(X),(X),73.5,8.5,(X),(X),77.8,7.5,(X),(X),22.6,6.2,(X),(X),19.2,8.1,(X),(X),25.0,7.2
